p1	p2
工作人员和服务都很出色。	在我转向错误的方向后，它能迅速捕获卫星并在几秒钟内重新计算路线。
工作人员和服务都很出色。	重新计算时间很好，卫星信号连接也很好。
工作人员和服务都很出色。	该单位采取非常迅速锁定卫星信号，跟踪非常好，当你错过一个转弯或做一些意想不到的事情，重新计算一个新的路线非常快。
服务周到友好的人	油耗好，座位舒适，腿部空间大。
服务周到友好的人	很好的汽油里程和舒适的长途旅行。
服务真是超乎寻常。	车内很舒服，很安静。
服务真是超乎寻常。	非常安静舒适。
服务真是超乎寻常。	旅途安静舒适。
我们遇到的每一位工作人员的服务都是令人愉快的。	饭菜很好，服务也很好。
我们遇到的每一位工作人员的服务都是令人愉快的。	饭菜很好，服务很好。
我们遇到的每一位工作人员的服务都是令人愉快的。	食品质量好，服务及时，一切按我们的要求准备。
我们遇到的每一位工作人员的服务都是令人愉快的。	令人惊叹的食物，令人惊叹的服务。
我们遇到的每一位工作人员的服务都是令人愉快的。	食物非常非常好，员工也非常友好。
我们遇到的每一位工作人员的服务都是令人愉快的。	丰盛的晚餐和周到的服务。
工作人员和门房都很乐于助人。	一小时的电池寿命真的很有帮助。
工作人员和门房都很乐于助人。	一小时的电池寿命是伟大的。
客户服务很好。	电池寿命如广告所示。
客户服务很好。	电池寿命如广告所示。
全体员工都很乐于助人。	它的电池寿命要长得多，虽然不完全是规定的10。
全体员工都很乐于助人。	我喜欢电池，我不确定它的寿命是10年。
但这项服务可以别被打败。	它的电池寿命是所有笔记本电脑中最长的。
但这项服务可以别被打败。	它的电池寿命是目前所有上网本中最好的。
工作人员总是很乐于助人。	电池性能再好不过了，性能也是如此。
工作人员总是很乐于助人。	电脑速度很快，电池也很棒。
我们对所得到的服务印象深刻。	电池续航时间太长了！
我们对所得到的服务印象深刻。	电池寿命令人难以置信。
我们对所得到的服务印象深刻。	这个东西的电池寿命真是难以置信。
我们对所得到的服务印象深刻。	电池寿命很好，不是问题！
我们对所得到的服务印象深刻。	首先是难以置信的电池寿命。
我们对所得到的服务印象深刻。	电池寿命惊人。
我们对所得到的服务印象深刻。	电池的寿命真惊人我到处都能找到
我们对所得到的服务印象深刻。	电池寿命很长。
我们对所得到的服务印象深刻。	电池的能量是持久的，它为我提供了一整天很好的服务。
我们对所得到的服务印象深刻。	到目前为止，电池的续航时间非常惊人。
工作人员很乐于助人。	真实世界的电池寿命小于10。
工作人员很乐于助人。	电池寿命不是它承诺的10。
工作人员很乐于助人。	就电池续航时间而言，还不到10年。
前台工作人员很专业，很有帮助。	10小时的电池续航时间非常棒。
前台工作人员很专业，很有帮助。	电池续航时间超过9小时！
前台和其他工作人员都很乐于助人。	我发现实际的电池寿命大约是8小时。
前台和其他工作人员都很乐于助人。	实际电池数量介于8之间。
礼宾服务非常好。	5路按钮很神奇。
礼宾服务非常好。	我喜欢4路方向按钮。
礼宾服务是首屈一指的。	按钮上有更小的文字的小按钮。
礼宾服务是首屈一指的。	这些令人难以置信的小按钮对于视力低下的人来说简直不可能阅读。
礼宾服务是首屈一指的。	还有那些文字更细的小按钮？
前台的工作人员很乐于助人。	一个小抱怨，我一直想按下一页，而不是选择按钮，使事情发生。
前台的工作人员很乐于助人。	我直觉上希望最大的按钮是'选择'而不是下一页。
前台的工作人员非常乐于助人。	我也喜欢他们让下一页和上一页的按钮有点难按，所以我不是一直按我不想按的按钮。
前台的工作人员非常乐于助人。	现在不小心碰到页面按钮就难多了。
美丽的景色，令人惊叹的服务！	下一页等按钮，非常好用。
美丽的景色，令人惊叹的服务！	纽扣真的好多了。
美丽的景色，令人惊叹的服务！	我发现这些按钮很容易用。
风景优美，服务一流！	大大改进了翻页按钮。
风景优美，服务一流！	翻页按钮更好。
服务好，视野好。	多好的酒店啊，好的地理位置！
服务好，视野好。	地理位置不错的酒店
服务好，视野好。	酒店很好，位置很好。
服务好，视野好。	喜欢这个酒店和位置！
服务好，视野好。	总的来说，地理位置很好，酒店也不错。
服务好，视野好。	很好的酒店，很好的位置。
服务好，视野好。	可爱的酒店和绝佳的地理位置。
服务好，视野好。	地理位置很好，我喜欢这家酒店。
服务好，视野好。	完美的地理位置和可爱的酒店
服务好，视野好。	完美的地理位置和一流的酒店。
服务好，视野好。	酒店地理位置优越！
服务好，视野好。	酒店非常好，地理位置非常好。
服务好，视野好。	地理位置优越的酒店。
服务好，视野好。	很好的酒店，地理位置很好。
服务好，视野好。	很棒的酒店，地理位置非常好！
服务好，视野好。	地理位置优越的大酒店。
服务好，视野好。	总的来说，这是一家地理位置优越的顶级酒店。
服务好，视野好。	地理位置优越的可爱酒店
服务好，视野好。	宜人酒店地理位置非常好。
服务好，视野好。	地理位置优越的友好酒店
服务好，视野好。	地理位置优越的大酒店
服务好，视野好。	总之，这是一家很棒的酒店，地理位置也不错。
服务好，视野好。	地理位置优越的大酒店
服务好，视野好。	一家好酒店，地理位置优越。
独特的景观和一流的服务。	酒店的位置再好不过了，再好不过了！
独特的景观和一流的服务。	我们对这家旅馆的位置很满意。
独特的景观和一流的服务。	这家旅馆的位置再好不过了。
独特的景观和一流的服务。	这家旅馆地理位置很好。
独特的景观和一流的服务。	酒店的位置非常好。
独特的景观和一流的服务。	这家旅馆地理位置很好。
独特的景观和一流的服务。	酒店的位置很好。
独特的景观和一流的服务。	我喜欢这家酒店的位置！
独特的景观和一流的服务。	酒店的位置非常好。
独特的景观和一流的服务。	酒店的位置很好。
独特的景观和一流的服务。	酒店的位置很好，非常好的地方。
独特的景观和一流的服务。	这家旅馆地理位置很好。
独特的景观和一流的服务。	酒店地理位置优越。
独特的景观和一流的服务。	如果你想找个好地方，我推荐这家酒店。
独特的景观和一流的服务。	酒店的位置很好。
独特的景观和一流的服务。	这家旅馆地理位置很好。
独特的景观和一流的服务。	酒店的位置真的很好。
客户服务太差了。	位置不错，但真的是4星吗？
客户服务太差了。	便利的位置不是4星级客房和服务，但可以。
客户服务太差了。	地理位置优越，但绝对不是四星级酒店。
本可以有更好的服务的。	地理位置优越，物超所值。
本可以有更好的服务的。	价格和位置是无与伦比的。
本可以有更好的服务的。	就价格和位置而言，这是一家非常棒的酒店。
本可以有更好的服务的。	价格和位置都不错的酒店。
本可以有更好的服务的。	地理位置优越，价格和舒适度无与伦比！
本可以有更好的服务的。	物超所值，地理位置优越。
本可以有更好的服务的。	一家不错的酒店，价格合理，地理位置优越。
本可以有更好的服务的。	价值很高，位置很好。
本可以有更好的服务的。	价格不错的酒店地理位置也不错。
本可以有更好的服务的。	你无法击败的位置或价格。
本可以有更好的服务的。	地理位置优越，酒店物超所值。
本可以有更好的服务的。	要不是价格和优越的地理位置，我们还是满意的。
本可以有更好的服务的。	地理位置优越，价格合理
本可以有更好的服务的。	价格好，地理位置好。
本可以有更好的服务的。	地理位置优越，价格合理
本可以有更好的服务的。	很棒的房间，难以置信的价格，绝佳的位置！
本可以有更好的服务的。	在一个很好的位置做的很好。
本可以有更好的服务的。	物超所值，地理位置优越。
本可以有更好的服务的。	我们认为这是一个伟大的价值如此伟大的位置。
本可以有更好的服务的。	这是一个相当不错的价值和一个很好的位置。
本可以有更好的服务的。	物超所值，地理位置优越。
本可以有更好的服务的。	地理位置优越，是一个非常值得入住的地方。
本可以有更好的服务的。	物超所值，位置优越。
本可以有更好的服务的。	地理位置好，价格优惠。
本可以有更好的服务的。	物超所值，地理位置优越，是理想的选择。
本可以有更好的服务的。	最好的位置和无与伦比的价格！
本可以有更好的服务的。	伟大的酒店伟大的位置伟大的价值！
本可以有更好的服务的。	总之，这家酒店的价格和地理位置都是不错的选择。
本可以有更好的服务的。	价格和位置我觉得这个地方很棒。
本可以有更好的服务的。	呆在这里，你不会后悔的，好价钱，好位置。
这是我一生中最糟糕的一次。	在我看来，这个位置再好不过了。
这是我一生中最糟糕的一次。	所以，这个位置很棒。
这是我一生中最糟糕的一次。	更不用说完美的位置了！
这是我一生中最糟糕的一次。	另外，就是位置，位置，位置。
这是我一生中最糟糕的一次。	也就是说，这里的地理位置非常好。
这是我一生中最糟糕的一次。	这只是一个很好的位置，时期。
这是我一生中最糟糕的一次。	位置是很难击败不过。
这是我一生中最糟糕的一次。	这绝对是你想要的位置。
这是我一生中最糟糕的一次。	再说一次，这个位置真是太棒了！
这是我一生中最糟糕的一次。	地理位置非常好。
这是我一生中最糟糕的一次。	地点真的是最好的部分。
这是我一生中最糟糕的一次。	再说一次，位置很好！
这是我一生中最糟糕的一次。	你不能打败这个位置！
这是我一生中最糟糕的一次。	对我来说位置很好。
这是我一生中最糟糕的一次。	位置再好不过了。
这是我一生中最糟糕的一次。	地理位置再好不过了。
客户服务需要改进。	位置本身很好，但其他一切都很糟糕。
客户服务需要改进。	唯一值得推荐的是这家酒店的地理位置，非常好。
客户服务需要改进。	地理位置是唯一的选择。
客户服务需要改进。	这家酒店唯一的目标就是位置。
如果你不介意对待粗鲁员工的态度，那就去做吧。	地理位置再好不过了，从告士打道地铁站步行两分钟就到了。
如果你不介意对待粗鲁员工的态度，那就去做吧。	我很喜欢这里，因为它距离格洛斯特路地铁站只有1分钟的路程。
如果你不介意对待粗鲁员工的态度，那就去做吧。	酒店位于南肯辛顿的一个非常好的地方，距离格洛斯特路站只有一个街区，地理位置无与伦比。
如果你不介意对待粗鲁员工的态度，那就去做吧。	位于格洛斯特路地铁站，非常方便。
如果你不介意对待粗鲁员工的态度，那就去做吧。	这是一个很好的位置非常接近格洛斯特路地铁站。
我唯一的问题是员工。	位置很好，离地铁站很近。
我唯一的问题是员工。	地理位置非常好，就在地铁拐角处。
我唯一的问题是员工。	说到地铁，1个街区外的位置真是太棒了！
我唯一的问题是员工。	地理位置很好，地铁站也很近。
我唯一的问题是员工。	位置很好，就在地铁拐角处。
我唯一的问题是员工。	地理位置很好走出地铁站，第一个路口右转，步行150码就到了！
我唯一的问题是员工。	如果你打算乘地铁的话，位置很好。
我唯一的问题是员工。	位置很好，就在地铁拐角处。
前台的工作人员糟透了。	地理位置优越，服务周到。
前台的工作人员糟透了。	很好的定位服务。
前台的工作人员糟透了。	位置很好，服务很差！
礼宾部的工作人员很傲慢，不太乐于助人。	优越的地理位置和服务。
礼宾部的工作人员很傲慢，不太乐于助人。	服务周到，地理位置优越！
员工们真的需要上一堂人际沟通课。	服务好位置好价值高
员工们真的需要上一堂人际沟通课。	非常好的位置服务和价值！
工作人员很不友好，不顺从。	如果你想靠近渔人码头的话，这个位置很好。
工作人员很不友好，不顺从。	总的来说，如果你想靠近码头的话，这是个不错的位置。
工作人员很不友好，不顺从。	地理位置非常好，离渔人码头只有几个街区，一切都在附近。
工作人员很不友好，不顺从。	如果你想呆在码头附近，这是个好地方。
工作人员很不友好，不顺从。	地理位置很好，离渔人码头只有两个街区。
工作人员很不友好，不顺从。	离渔人码头只有两个简单的街区。
工作人员很不友好，不顺从。	地理位置优越，可到达渔人码头。
工作人员很不友好，不顺从。	渔人码头的位置真不错。
工作人员很不友好，不顺从。	地理位置优越，靠近渔人码头。
工作人员很不友好，不顺从。	位置再好不过了，我们离码头只有两个街区！
工作人员很不友好，不顺从。	位置在渔民步行距离之内s码头。
工作人员很不友好，不顺从。	地理位置优越，位于渔人码头。
工作人员很不友好，不顺从。	地理位置优越，位于渔人码头边缘。
工作人员很不友好，不顺从。	它位于渔人码头39号码头附近的好位置。
工作人员很不友好，不顺从。	这家旅馆位于渔人码头的好位置。
工作人员很不友好，不顺从。	地理位置很好，离渔人码头只有几个街区。
工作人员很不友好，不顺从。	地理位置非常好，离渔人码头只有两个街区。
工作人员很不友好，不顺从。	酒店地理位置优越，您可以步行到渔夫家的任何地方s码头区。
工作人员很不友好，不顺从。	如果你想靠近码头的话，这里的位置非常好。
工作人员很不友好，不顺从。	地理位置非常适合渔人码头和邻近地区。
工作人员很不友好，不顺从。	地理位置很好，离码头只有几个街区。
工作人员很不友好，不顺从。	渔人码头最佳位置。
工作人员很不友好，不顺从。	酒店地理位置优越，步行即可到达主要渔人码头景点。
工作人员很不友好，不顺从。	完美的渔人码头位置
工作人员很不友好，不顺从。	步行两个街区即可到达码头，地理位置十分便利。
工作人员很不友好，不顺从。	地理位置优越，靠近渔人码头。
工作人员很不友好，不顺从。	地理位置优越，可到达渔人码头。
前台人员需要客服101。	旧金山观光的绝佳位置
前台人员需要客服101。	探索旧金山的绝佳地点
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	该位置仅需步行即可到达码头、缆车等。
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	地理位置非常好，距渔人码头2、12个街区，距39号码头4个街区，距电车1、12个街区。
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	酒店地理位置优越，距离渔人码头仅5分钟步行路程，距离缆车和其他景点仅10分钟路程。
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	酒店地理位置优越，步行5分钟即可到达渔人码头长廊，步行5分钟即可到达电车站。
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	地理位置优越，可通往缆车和码头。
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	地理位置优越，距离渔人码头2个街区，距离缆车1个街区。
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	地理位置非常好，离渔人码头只有两个街区，到街上的汽车和电车只有一个街区。
前台和礼宾部的工作人员也是一群势利小人，非常傲慢。	酒店地理位置优越，靠近渔人码头、缆车等。
当我们对简单的事情有任何要求时，前台的工作人员从来都不是很乐于助人。	酒店最好的地方是它的位置。
当我们对简单的事情有任何要求时，前台的工作人员从来都不是很乐于助人。	这家酒店最大的特点就是位置，位置，位置。
当我们对简单的事情有任何要求时，前台的工作人员从来都不是很乐于助人。	这家酒店最漂亮的特点之一就是地理位置。
当我们对简单的事情有任何要求时，前台的工作人员从来都不是很乐于助人。	位置，这是酒店最好的部分。
另一个大抱怨是接待人员，他们很粗鲁。	电池续航时间很短。
另一个大抱怨是接待人员，他们很粗鲁。	我觉得电池续航时间还行。
前台的工作人员以一种普遍的蔑视态度对待人们。	而且电池续航时间也很长！
前台的工作人员以一种普遍的蔑视态度对待人们。	电池寿命也令人难以置信。
前台的工作人员以一种普遍的蔑视态度对待人们。	电池续航时间似乎很惊人。
旅馆职员彬彬有礼，乐于助人。	我一直开着无线，还没有看到电池的大量使用。
旅馆职员彬彬有礼，乐于助人。	电池续航时间非常长，即使无线一直开着。
酒店的员工非常优秀，彬彬有礼，彬彬有礼，而且在各方面都很乐于助人。	我将无线接入功能关闭以延长电池寿命。
酒店的员工非常优秀，彬彬有礼，彬彬有礼，而且在各方面都很乐于助人。	电池续航时间更长，无线功能开启时效果更佳。
酒店的员工非常优秀，彬彬有礼，彬彬有礼，而且在各方面都很乐于助人。	哦，还有一件事，我发现如果你打开wifi，直到你知道你需要发送或检索的东西，电池能持续好几个小时。
酒店的员工非常优秀，彬彬有礼，彬彬有礼，而且在各方面都很乐于助人。	关掉无线，省电。
旅馆的职员很乐于助人，也很好。	电池没有它应有的强度。
旅馆的职员很乐于助人，也很好。	电池寿命短，必须不断更换。
旅馆的职员很乐于助人，也很好。	电池寿命不好，真的不好。
我记得我们来访时，工作人员对我们很友好。	它使用方便，电池寿命长。
我记得我们来访时，工作人员对我们很友好。	长的电池寿命和简单的方向使这一点很容易使用。
我记得我们来访时，工作人员对我们很友好。	电池续航时间非常长，液晶显示屏清晰易看。
热情友好的员工！	唯一不好的是它的电池寿命。
热情友好的员工！	我对这个产品唯一的不满就是电池根本用不了多久
工作人员很热情。	电池比我以前的第二代Nano快。
工作人员很热情。	我唯一的抱怨是电池的续航时间不如我之前的第二代nano。
工作人员很友好，很随和。	不方便更换电池方便更换iPod。
工作人员很友好，很随和。	我认为苹果的想法是，你不用更换电池，而是换一个新的iPod。
酒店的工作人员很好，总是随叫随到。	宽敞舒适的房间，很棒的浴室。
酒店的工作人员很好，总是随叫随到。	房间很大，很舒服，有一个漂亮的大浴室。
酒店工作人员在需要时为我们提供了很好的帮助。	浴室有足够的空间。
酒店工作人员在需要时为我们提供了很好的帮助。	不过，浴室很大。
工作人员很好，但你经过时没有笑脸和问候。	浴室也需要整容。
工作人员很好，但你经过时没有笑脸和问候。	浴室有点旧。
工作人员很好，但你经过时没有笑脸和问候。	最让我烦恼的是浴室很旧。
工作人员很好，但你经过时没有笑脸和问候。	浴室很干净，但有点过时。
工作人员很专业，但不太友好和疏远。	浴室也很宽敞，很干净。
工作人员很专业，但不太友好和疏远。	浴室又大又干净。
工作人员非常非常专业，但是，微笑在哪里？	而且非常非常准确。
工作人员非常非常专业，但是，微笑在哪里？	这一点的精确度非常好。
工作人员非常非常专业，但是，微笑在哪里？	但是，它总是非常准确的。
酒店地理位置优越，员工热情，服务周到。	它还没有让我失望，让我以100%的准确率无处不在。
酒店地理位置优越，员工热情，服务周到。	方向非常精确，精确到T。
酒店地理位置优越，员工热情，服务周到。	它让我从A点到B点，每次都100%准确。
地理位置优越，员工一流。	大多数时候，这个信息都非常准确。
地理位置优越，员工一流。	到目前为止，提供的方向都相当准确。
地理位置优越，员工一流。	除此之外，我的每一个目的地都是100%准确的。
抵达后，接待人员热情地接待了他们。	到目前为止，这是一个非常容易使用和准确。
抵达后，接待人员热情地接待了他们。	简单易用，令人惊讶的是这个项目是多么准确。
抵达后，接待人员热情地接待了他们。	易于使用，非常精确，界面友好直观。
一进入优雅的大厅，我们就受到了工作人员的亲切欢迎。	我在城里用过，发现它非常准确。
一进入优雅的大厅，我们就受到了工作人员的亲切欢迎。	它在当地的驾驶中起到了很好的作用，为道路和街道提供了准确的方向。
